Age,DailyRate,DistanceFromHome,HourlyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,AnnualIncome,IncomePerYearExp,Age_Company_Ratio,Role_Stability,OverTime_Yes,Target_Attrition
41,1102,1,94,5993,19479,8,11,8,6,71916,665.8888888888889,0.14634146341463414,0.5714285714285714,True,True
49,279,8,61,5130,24907,1,23,10,10,61560,466.3636363636364,0.20408163265306123,0.6363636363636364,False,False
37,1373,2,92,2090,2396,6,15,7,0,25080,261.25,0.0,0.0,True,True
33,1392,3,56,2909,23159,1,11,8,8,34908,323.22222222222223,0.24242424242424243,0.7777777777777778,True,False
27,591,2,40,3468,16632,9,12,6,2,41616,495.42857142857144,0.07407407407407407,0.6666666666666666,False,False
32,1005,2,79,3068,11864,0,13,8,7,36816,340.8888888888889,0.21875,0.875,False,False
59,1324,3,81,2670,9964,4,20,12,1,32040,205.3846153846154,0.01694915254237288,0.0,True,False
30,1358,24,67,2693,13335,1,22,1,1,32316,1346.5,0.03333333333333333,0.0,False,False
38,216,23,44,9526,8787,0,21,10,9,114312,866.0,0.23684210526315788,0.7,False,False
36,1299,27,94,5237,16577,6,13,17,7,62844,290.94444444444446,0.19444444444444445,0.875,False,False
35,809,16,84,2426,16479,0,13,6,5,29112,346.57142857142856,0.14285714285714285,0.6666666666666666,False,False
29,153,15,49,4193,12682,0,12,10,9,50316,381.1818181818182,0.3103448275862069,0.5,True,False
31,670,26,31,2911,15170,1,17,5,5,34932,485.1666666666667,0.16129032258064516,0.3333333333333333,False,False
34,1346,19,93,2661,8758,0,11,3,2,31932,665.25,0.058823529411764705,0.6666666666666666,False,False
28,103,24,50,2028,12947,5,14,6,4,24336,289.7142857142857,0.14285714285714285,0.4,True,True
29,1389,21,51,9980,10195,1,11,10,10,119760,907.2727272727273,0.3448275862068966,0.8181818181818182,False,False
32,334,5,80,3298,15053,0,12,7,6,39576,412.25,0.1875,0.2857142857142857,True,False
22,1123,16,96,2935,7324,1,13,1,1,35220,1467.5,0.045454545454545456,0.0,True,False
53,1219,2,78,15427,22021,2,16,31,25,185124,482.09375,0.4716981132075472,0.3076923076923077,False,False
38,371,2,45,3944,4306,5,11,6,3,47328,563.4285714285714,0.07894736842105263,0.5,True,False
24,673,11,96,4011,8232,0,18,5,4,48132,668.5,0.16666666666666666,0.4,False,False
36,1218,9,82,3407,6986,7,23,10,5,40884,309.72727272727275,0.1388888888888889,0.5,False,True
34,419,7,53,11994,21293,0,11,13,12,143928,856.7142857142857,0.35294117647058826,0.46153846153846156,False,False
21,391,15,96,1232,19281,1,14,0,0,14784,1232.0,0.0,0.0,False,False
34,699,6,83,2960,17102,2,11,8,4,35520,328.8888888888889,0.11764705882352941,0.4,False,True
53,1282,5,58,19094,10735,4,11,26,14,229128,707.1851851851852,0.2641509433962264,0.8666666666666667,False,False
32,1125,16,72,3919,4681,1,22,10,10,47028,356.27272727272725,0.3125,0.18181818181818182,True,True
42,691,8,48,6825,21173,0,11,10,9,81900,620.4545454545455,0.21428571428571427,0.7,False,False
44,477,7,42,10248,2094,3,14,24,22,122976,409.92,0.5,0.2608695652173913,False,False
46,705,2,83,18947,22822,3,12,22,2,227364,823.7826086956521,0.043478260869565216,0.6666666666666666,False,False
33,924,2,78,2496,6670,4,11,7,1,29952,312.0,0.030303030303030304,0.5,False,False
44,1459,10,41,6465,19121,2,13,9,4,77580,646.5,0.09090909090909091,0.4,True,False
30,125,9,83,2206,16117,1,13,10,10,26472,200.54545454545453,0.3333333333333333,0.0,False,False
39,895,5,56,2086,3335,3,14,19,1,25032,104.3,0.02564102564102564,0.0,False,True
24,813,1,61,2293,3020,2,16,6,2,27516,327.57142857142856,0.08333333333333333,0.0,True,True
43,1273,2,72,2645,21923,1,12,6,5,31740,377.85714285714283,0.11627906976744186,0.5,False,False
50,869,3,86,2683,3810,1,14,3,3,32196,670.75,0.06,0.5,True,True
35,890,2,97,2014,9687,1,13,2,2,24168,671.3333333333334,0.05714285714285714,0.6666666666666666,False,False
36,852,5,82,3419,13072,9,14,6,1,41028,488.42857142857144,0.027777777777777776,0.5,True,False
33,1141,1,42,5376,3193,2,19,10,5,64512,488.72727272727275,0.15151515151515152,0.5,False,False
35,464,4,75,1951,10910,1,12,1,1,23412,975.5,0.02857142857142857,0.0,False,False
27,1240,2,33,2341,19715,1,13,1,1,28092,1170.5,0.037037037037037035,0.0,False,False
26,1357,25,48,2293,10558,1,12,1,1,27516,1146.5,0.038461538461538464,0.0,False,True
27,994,8,37,8726,2975,1,15,9,9,104712,872.6,0.3333333333333333,0.8,False,False
30,721,1,58,4011,10781,1,23,12,12,48132,308.53846153846155,0.4,0.6153846153846154,False,False
41,1360,12,49,19545,16280,1,12,23,22,234540,814.375,0.5365853658536586,0.6521739130434783,False,True
34,1065,23,72,4568,10034,0,20,10,9,54816,415.27272727272725,0.2647058823529412,0.5,False,False
37,408,19,73,3022,10227,4,21,8,1,36264,335.77777777777777,0.02702702702702703,0.0,False,False
46,1211,5,98,5772,20445,4,21,14,9,69264,384.8,0.1956521739130435,0.6,True,False
35,1229,8,36,2269,4892,1,19,1,1,27228,1134.5,0.02857142857142857,0.0,False,False
48,626,1,98,5381,19294,9,13,23,1,64572,224.20833333333334,0.020833333333333332,0.0,True,True
28,1434,5,50,3441,11179,1,13,2,2,41292,1147.0,0.07142857142857142,0.6666666666666666,True,True
44,1488,1,75,5454,4009,5,21,9,4,65448,545.4,0.09090909090909091,0.6,True,False
35,1097,11,79,9884,8302,2,13,10,4,118608,898.5454545454545,0.11428571428571428,0.0,True,False
26,1443,23,47,4157,21436,7,19,5,2,49884,692.8333333333334,0.07692307692307693,0.6666666666666666,True,False
33,515,1,98,13458,15146,1,12,15,15,161496,841.125,0.45454545454545453,0.875,True,False
35,853,18,71,9069,11031,1,22,9,9,108828,906.9,0.2571428571428571,0.8,False,False
35,1142,23,30,4014,16002,3,15,4,2,48168,802.8,0.05714285714285714,0.6666666666666666,True,False
31,655,7,48,5915,9528,3,22,10,7,70980,537.7272727272727,0.22580645161290322,0.875,False,False
37,1115,1,51,5993,2689,1,18,7,7,71916,749.125,0.1891891891891892,0.625,False,False
32,427,1,33,6162,10877,1,22,9,9,73944,616.2,0.28125,0.8,True,False
38,653,29,50,2406,5456,1,11,10,10,28872,218.72727272727272,0.2631578947368421,0.2727272727272727,False,False
50,989,7,43,18740,16701,5,12,29,27,224880,624.6666666666666,0.54,0.10714285714285714,True,False
59,1435,25,99,7637,2354,7,11,28,21,91644,263.3448275862069,0.3559322033898305,0.7272727272727273,False,False
36,1223,8,59,10096,8202,1,13,17,17,121152,560.8888888888889,0.4722222222222222,0.7777777777777778,False,False
55,836,8,33,14756,19730,2,14,21,5,177072,670.7272727272727,0.09090909090909091,0.0,True,False
36,1195,11,95,6499,22656,1,13,6,6,77988,928.4285714285714,0.16666666666666666,0.7142857142857143,False,False
45,1339,7,59,9724,18787,2,17,25,1,116688,374.0,0.022222222222222223,0.0,False,False
35,664,1,79,2194,5868,4,13,5,3,26328,365.6666666666667,0.08571428571428572,0.5,False,False
36,318,9,79,3388,21777,0,17,2,1,40656,1129.3333333333333,0.027777777777777776,0.0,True,True
59,1225,1,57,5473,24668,7,11,20,4,65676,260.6190476190476,0.06779661016949153,0.6,False,False
29,1328,2,76,2703,4956,0,23,6,5,32436,386.14285714285717,0.1724137931034483,0.6666666666666666,False,False
31,1082,1,87,2501,18775,1,17,1,1,30012,1250.5,0.03225806451612903,0.5,False,False
32,548,1,66,6220,7346,1,17,10,10,74640,565.4545454545455,0.3125,0.36363636363636365,False,False
36,132,6,55,3038,22002,3,12,5,1,36456,506.3333333333333,0.027777777777777776,0.0,False,False
31,746,8,61,4424,20682,1,23,11,11,53088,368.6666666666667,0.3548387096774194,0.5833333333333334,False,False
35,776,1,32,4312,23016,0,14,16,15,51744,253.64705882352942,0.42857142857142855,0.8125,False,False
45,193,6,52,13245,15067,4,14,17,0,158940,735.8333333333334,0.0,0.0,True,False
37,397,7,30,13664,25258,4,13,16,5,163968,803.7647058823529,0.13513513513513514,0.3333333333333333,False,False
46,945,5,80,5021,10425,8,22,16,4,60252,295.3529411764706,0.08695652173913043,0.4,True,False
30,852,1,55,5126,15998,1,12,10,10,61512,466.0,0.3333333333333333,0.7272727272727273,True,False
35,1214,1,30,2859,26278,1,18,6,6,34308,408.42857142857144,0.17142857142857143,0.5714285714285714,False,False
55,111,1,70,10239,18092,3,14,24,1,122868,409.56,0.01818181818181818,0.0,False,False
38,573,6,79,5329,15717,7,12,17,13,63948,296.05555555555554,0.34210526315789475,0.7857142857142857,True,False
34,1153,1,94,4325,17736,1,15,5,5,51900,720.8333333333334,0.14705882352941177,0.3333333333333333,False,False
56,1400,7,49,7260,21698,4,11,37,6,87120,191.05263157894737,0.10714285714285714,0.5714285714285714,False,False
23,541,2,62,2322,9518,3,13,3,0,27864,580.5,0.0,0.0,False,False
51,432,9,96,2075,18725,3,23,10,4,24900,188.63636363636363,0.0784313725490196,0.4,False,False
30,288,2,99,4152,15830,1,19,11,11,49824,346.0,0.36666666666666664,0.8333333333333334,False,False
46,669,9,64,9619,13596,1,16,9,9,115428,961.9,0.1956521739130435,0.8,False,True
40,530,1,78,13503,14115,1,22,22,22,162036,587.0869565217391,0.55,0.13043478260869565,False,False
51,632,21,71,5441,8423,0,22,11,10,65292,453.4166666666667,0.19607843137254902,0.6363636363636364,True,False
30,1334,4,63,5209,19760,1,12,11,11,62508,434.0833333333333,0.36666666666666664,0.6666666666666666,True,False
46,638,1,40,10673,3142,2,13,21,10,128076,485.1363636363636,0.21739130434782608,0.8181818181818182,True,False
32,1093,6,87,5010,24301,1,16,12,11,60120,385.38461538461536,0.34375,0.6666666666666666,False,False
54,1217,2,60,13549,24001,9,12,16,4,162588,797.0,0.07407407407407407,0.6,False,False
24,1353,3,33,4999,17519,0,21,4,3,59988,999.8,0.125,0.5,False,False
28,120,4,43,4221,8863,1,15,5,5,50652,703.5,0.17857142857142858,0.6666666666666666,False,False
58,682,10,37,13872,24409,0,13,38,37,166464,355.6923076923077,0.6379310344827587,0.2631578947368421,False,False
44,489,23,67,2042,25043,4,12,17,3,24504,113.44444444444444,0.06818181818181818,0.5,False,False
37,807,6,63,2073,23648,4,22,7,3,24876,259.125,0.08108108108108109,0.5,True,True
32,827,1,71,2956,15178,1,13,1,1,35472,1478.0,0.03125,0.0,False,False
20,871,6,66,2926,19783,1,18,1,1,35112,1463.0,0.05,0.0,True,True
34,665,6,41,4809,12482,1,14,16,16,57708,282.88235294117646,0.47058823529411764,0.7647058823529411,False,False
37,1040,2,100,5163,15850,5,14,17,1,61956,286.8333333333333,0.02702702702702703,0.0,False,False
59,1420,2,32,18844,21922,9,21,30,3,226128,607.8709677419355,0.05084745762711865,0.5,False,False
50,1115,1,73,18172,9755,3,19,28,8,218064,626.6206896551724,0.16,0.3333333333333333,True,False
25,240,5,46,5744,26959,1,11,6,6,68928,820.5714285714286,0.24,0.5714285714285714,True,True
25,1280,7,64,2889,26897,1,11,2,2,34668,963.0,0.08,0.6666666666666666,False,False
22,534,15,59,2871,23785,1,15,1,0,34452,1435.5,0.0,0.0,False,False
51,1456,1,30,7484,25796,3,20,23,13,89808,311.8333333333333,0.2549019607843137,0.8571428571428571,False,False
34,658,7,66,6074,22887,1,24,9,9,72888,607.4,0.2647058823529412,0.7,True,True
54,142,26,30,17328,13871,2,12,23,5,207936,722.0,0.09259259259259259,0.5,True,False
24,1127,18,52,2774,13257,0,12,6,5,33288,396.2857142857143,0.20833333333333334,0.5,False,False
34,1031,6,45,4505,15000,6,15,12,1,54060,346.53846153846155,0.029411764705882353,0.0,False,False
